year,road_t,road_n,car,puj,uv,taxi,pub,truck,trailer,mc,tricycle,total,year_cat,year_int,car_log,puj_sqrt,uv_log1p,taxi_sqrt,pub_log,trailer_log1p,mc_sqrt,tricycle_sqrt,total_log
2020-01-01,R7,COMMONWEALTH AVENUE,148343,1680,2950,13643,76880,6318,265,105325,92,282137,2020,2020,11.907282438896216,40.98780306383839,7.989560449333865,116.80325337934727,11.250001043644174,5.583496308781699,324.53813335261543,9.591663046625438,12.550148047552893
2020-01-01,R8,A. BONIFACIO,41356,16600,340,1839,1750,8449,1414,25152,923,81002,2020,2020,10.629972792706583,128.84098726725125,5.8289456176102075,42.883563284783136,7.4673710669175595,7.254884810077338,158.59382081279207,30.380915061926625,11.302229124707774
2020-01-01,R9,RIZAL AVENUE,30080,99860,1010,2204,4490,2938,109,40721,956,87544,2020,2020,10.311615778063777,316.0063290505429,6.917705609835305,46.94677837722201,8.4096079807363,4.700480365792417,201.79444987412316,30.919249667480614,11.379896803098278
2020-01-01,R10,DEL PAN,45911,6880,280,2304,2540,6281,7342,42621,2166,107595,2020,2020,10.734460018752944,82.94576541331088,5.634789603169249,48.0,7.8399193600125825,8.90150275745161,206.44854080375575,46.54030511288038,11.586129457228644
2020-01-01,R11,MARCOS HIGHWAY,102714,126660,33130,7762,4540,5125,225,90421,453,223133,2020,2020,11.539703706002834,355.89324241968967,10.408194495293941,88.10221336606703,8.420682291035394,5.420534999272286,300.7008480200879,21.283796653792763,12.315523285215026
2020-01-01,R11,MCARTHUR HIGHWAY,33129,83000,410,3720,22440,3923,183,59340,190,111070,2020,2020,10.408164310715241,288.09720581775866,6.016157159698354,60.991802727907626,10.018600359636633,5.214935757608986,243.59802954868087,13.784048752090222,11.617915912161166
2021-01-01,C1,RECTO,27447,39800,120,4844,4310,924,80,45082,1660,84460,2021,2021,10.220012151347644,199.49937343260004,4.787491742782046,69.59885056522126,8.368693183097793,4.394449154672439,212.3252222417299,40.74309757492672,11.344033328487935
2021-01-01,C2,MENDOZA,37472,33840,90,3575,680,8186,1897,54136,662,109389,2021,2021,10.531349266397443,183.9565166010707,4.499809670330265,59.79130371550699,6.522092798170152,7.5485559791698735,232.67144216684608,25.729360660537214,11.602665615468615
2021-01-01,C2,QUIRINO AVENUE,73167,7270,640,3837,3640,7606,1251,88445,2420,177881,2021,2021,11.200499778627531,85.26429498916883,6.461468176353717,61.94352266379432,8.199738960630786,7.132497551660044,297.397041007472,49.193495504995376,12.088870066376314
2021-01-01,C3,ARANETA AVENUE,30942,940,100,2789,560,3397,754,33872,668,72582,2021,2021,10.339869763279014,30.659419433511783,4.605170185988092,52.81098370604357,6.327936783729195,6.626717749249025,184.04347312523745,25.84569596664017,11.192472236187903
2021-01-01,C4,EDSA,58726,0,90,2361,10,2200,447,36033,488,100265,2021,2021,10.980637837904906,0.0,4.499809670330265,48.590122453025366,2.302585092994046,6.104793232414985,189.8236023259489,22.090722034374522,11.515571959911133
2021-01-01,C5,C5,199402,16380,26040,19287,55270,2188,45,141564,16,372271,2021,2021,12.203078166549846,127.98437404620925,10.167389096322506,138.87764398923247,10.919985544827309,3.828641396489095,376.2499169435124,4.0,12.827377362655533
2021-01-01,R1,ROXAS BOULEVARD,95063,93660,19880,11734,15750,3076,1849,81895,2793,209339,2021,2021,11.462295108685383,306.0392131737369,9.897469480210566,108.32358930537707,9.66459564425378,7.52294091807237,286.1730245847781,52.848841046895245,12.251710226479533
2021-01-01,R2,TAFT AVENUE,43676,85520,44000,5970,18650,1022,7,45416,3807,114715,2021,2021,10.684554031133956,292.43802762294786,10.691944912900398,77.26577508832743,9.833601425071961,2.0794415416798357,213.11030007955975,61.7008914036094,11.650206070504263
2021-01-01,R3,SSH,96111,1870,800,5740,3670,6664,2093,75867,80,187189,2021,2021,11.473259052507764,43.243496620879306,6.684611727667927,75.76278769950325,8.207946941048617,7.646831391430482,275.4396485620761,8.94427190999916,12.13987408061539
2021-01-01,R4,SHAW BOULEVARD,48612,11270,7570,7958,3250,798,101,45517,10,105205,2021,2021,10.79162569299069,106.1602562167217,8.931948346431495,89.20762299265685,8.086410275323782,4.624972813284271,213.347134970217,3.1622776601683795,11.563666106673413
2021-01-01,R5,ORTIGAS AVENUE,73145,68660,36190,3176,31770,4571,486,90210,449,185699,2021,2021,11.200199051412186,262.03053257206494,10.496538116557788,56.356011214421486,10.366277727263562,6.18826412308259,300.349796071181,21.18962010041709,12.13188236229668
2021-01-01,R6,MAGSAYSAY BOULEVARD,57031,50430,430,7255,3910,2138,380,66360,1292,139933,2021,2021,10.95135025862775,224.5662485771181,6.063785208687608,85.17628778010932,8.271292652979412,5.942799375126701,257.60434778939583,35.94440151122286,11.848919015611015
2021-01-01,R6,AURORA BOULEVARD,36367,74240,14580,4200,10050,1922,20,48318,98,100812,2021,2021,10.501417049013888,272.47018185482244,9.587406005562649,64.8074069840786,9.215327913487222,3.044522437723423,219.81355736168777,9.899494936611665,11.521012675152848
2021-01-01,R7,QUEZON AVENUE,120383,20940,28130,13139,11110,4493,287,117718,90,262128,2021,2021,11.698433605874474,144.70659971127785,10.244591901483902,114.62547709824373,9.315600882633676,5.662960480135946,343.10056834694984,9.486832980505138,12.476588213060044
2021-01-01,R7,COMMONWEALTH AVENUE,135153,17400,48790,14663,58790,5914,366,133591,131,302316,2021,2021,11.8141627490165,131.90905958272918,10.795280652809883,121.09087496587016,10.9817270513963,5.905361848054571,365.50102599035205,11.445523142259598,12.619228106922344
2021-01-01,R8,A. BONIFACIO,27772,32470,530,1101,5500,8334,1162,29066,1222,72507,2021,2021,10.231783597873164,180.19433953373786,6.272877006546167,33.18132004607411,8.612503371220562,7.0587581525186645,170.48753620133056,34.95711658589707,11.191438387906086
2021-01-01,R9,RIZAL AVENUE,33217,66830,280,3494,5430,2788,0,59406,747,106906,2021,2021,10.41081707204541,258.5149898942032,5.634789603169249,59.1100668245266,8.599694412927981,0.0,243.73346097735535,27.331300737432898,11.579705222659765
2021-01-01,R10,DEL PAN,39187,6300,380,2391,1470,6043,6506,44121,3753,102816,2021,2021,10.576100338123224,79.37253933193772,5.940171252720432,48.8978527135906,7.293017679772782,8.780633799494984,210.04999404903586,61.26173356998641,11.540696261915585
2021-01-01,R11,MARCOS HIGHWAY,109691,76820,8820,7659,4800,6687,522,99611,252,233466,2021,2021,11.605422600965156,277.1642112539063,9.084777149000837,87.51571287488893,8.476371196895983,6.259581464064923,315.6121036969273,15.874507866387544,12.36079173521051
2021-01-01,R11,MCARTHUR HIGHWAY,30529,37400,20,4834,8550,2858,194,80178,200,123390,2021,2021,10.326432330524938,193.39079605813717,2.995732273553991,69.52697318307479,9.053686561930807,5.272999558563747,283.15720015567325,14.142135623730951,11.72310534989258
2022-01-01,C1,RECTO,27587,67490,7560,3554,900,651,169,44687,1854,86097,2022,2022,10.225099926250317,259.7883754135277,8.930626469173578,59.61543424315552,6.802394763324311,5.135798437050262,211.392998937997,43.05810028322197,11.36322984660321
2022-01-01,C2,MENDOZA,83148,5230,2430,5384,1550,3786,12,80092,1900,175243,2022,2022,11.328377431415381,72.31873892705818,7.795646536334594,73.37574531137656,7.346010209913293,2.5649493574615367,283.0053003037222,43.58898943540674,12.073928861160438
2022-01-01,C2,QUIRINO AVENUE,68697,60,810,3963,2090,3198,53,70437,973,147617,2022,2022,11.137460809134689,7.745966692414834,6.697034247666484,62.95236294214857,7.644919344958857,3.9889840465642745,265.39969856802776,31.192947920964443,11.902376360668008
2022-01-01,C3,ARANETA AVENUE,59994,140,160,2758,260,2639,507,44877,1475,112306,2022,2022,11.001999836203904,11.832159566199232,5.075173815233827,52.51666402200353,5.560681631015528,6.230481447578482,211.84192219671723,38.40572873934304,11.628982567616301
2022-01-01,C4,EDSA,202764,18030,24750,18186,55880,2295,119,151847,20,385096,2022,2022,12.21979802014865,134.27583550289307,10.116580767996837,134.85547819795826,10.930961813370898,4.787491742782046,389.675506030338,4.47213595499958,12.861247932836566
2022-01-01,C5,C5,93513,4050,26680,4123,7890,8993,1151,100133,44,211819,2022,2022,11.445855743045126,63.63961030678928,10.19166950002956,64.21059102671458,8.97335141383992,7.049254841255837,316.43798760578665,6.6332495807108,12.263487415396996
